model,systemic_risk_weight,expected_return,variance,volatility,systemic_risk_exposure,objective_value,active_assets,number_of_active_assets
standard,0.0,0.25938838411286896,0.08164754471986357,0.28574034492850947,0.7803612341010602,-0.0888704196965027,"BTC, NASDAQ, GOLD",3
systemic_risk_aware,0.005,0.2612703379015143,0.08371596612307189,0.28933711501131665,0.7544146510671325,-0.08500511263388556,"BTC, NASDAQ, GOLD",3
systemic_risk_aware,0.01,0.26149019581814825,0.08421116457393432,0.290191599764594,0.7394095133134823,-0.08124542048897214,"BTC, NASDAQ, GOLD",3
systemic_risk_aware,0.015,0.2615150812562878,0.08462060137080353,0.29089620377516706,0.7249801259112466,-0.07757253805407345,"BTC, NASDAQ, GOLD",3
systemic_risk_aware,0.02,0.262430747978659,0.08599920332845078,0.2932562076554404,0.711531631820309,-0.07398513968869792,"BTC, NASDAQ, GOLD",3
systemic_risk_aware,0.025,0.2631364795912583,0.08739824464174559,0.2956319411730498,0.6952936158282819,-0.07048677707904931,"BTC, NASDAQ, GOLD",3
systemic_risk_aware,0.03,0.2635008054180537,0.08872759420343612,0.29787177476799664,0.6768548745817823,-0.06708095936985532,"BTC, NASDAQ, GOLD",3
systemic_risk_aware,0.04,0.26276662288358343,0.08959593625975815,0.29932580286329835,0.6522152121059145,-0.06049673482767606,"BTC, GOLD",2
systemic_risk_aware,0.05,0.2596111244025802,0.08709503770615702,0.2951186841021033,0.6449430088015621,-0.0540108929081335,"BTC, GOLD",2
systemic_risk_aware,0.06,0.25646544139049554,0.08474688669774107,0.2911131853725301,0.6376934263559846,-0.04759767176501817,"BTC, GOLD",2
systemic_risk_aware,0.075,0.25173777606049735,0.0814900707613685,0.2854646576397304,0.6267979866523485,-0.038114003650638294,"BTC, GOLD",2
systemic_risk_aware,0.09,0.2470111295582655,0.07856078452860905,0.28028696817477805,0.6159048949525838,-0.02879373196909568,"BTC, GOLD",2
systemic_risk_aware,0.1,0.2435782083628344,0.0766381347000778,0.2768359346256873,0.6079933396115529,-0.022670702870223006,"BTC, GOLD",2
systemic_risk_aware,0.125,0.2359822820874419,0.07299664115468116,0.270178905828492,0.5904876680062333,-0.007681861965601208,"BTC, GOLD",2
systemic_risk_aware,0.15,0.22817069783865293,0.0701320141744585,0.26482449693043597,0.572484988198823,0.006853406397726233,"BTC, GOLD",2
systemic_risk_aware,0.175,0.2204396724244091,0.06817574351612514,0.26110485157523433,0.554667965341115,0.020934929480553144,"BTC, GOLD",2
systemic_risk_aware,0.2,0.21313778733793298,0.06808228886661757,0.26092583020202803,0.5353852004669931,0.03454929085774093,"ETH, BTC, GOLD",3
systemic_risk_aware,0.225,0.20555086980179532,0.06897806802058372,0.2626367606040398,0.5154269422817659,0.047684661122791516,"ETH, BTC, GOLD",3
systemic_risk_aware,0.25,0.19812046135786637,0.07143145918036733,0.26726664434674097,0.49477039151952174,0.060348096791130915,"ETH, BTC, GOLD",3
systemic_risk_aware,0.3,0.18353626881427784,0.07705784077632792,0.2775929407897973,0.45818089272970586,0.0842150537999368,"ETH, BTC, GOLD",3
systemic_risk_aware,0.35,0.17085919848304104,0.07931639663409144,0.2816316683792706,0.43512980584919964,0.10652403112274508,"ETH, GOLD",2
systemic_risk_aware,0.4,0.16121300984453749,0.0821926580410908,0.2866926194395154,0.41817341973696776,0.12775919199306376,GOLD,1
systemic_risk_aware,0.5,0.16121300984453743,0.08219265804109074,0.2866926194395153,0.4181734197369678,0.16957653396676056,GOLD,1
systemic_risk_aware,0.6,0.16121300984453749,0.0821926580410908,0.2866926194395154,0.41817341973696787,0.2113938759404574,GOLD,1
systemic_risk_aware,0.75,0.16121300984453757,0.08219265804109083,0.28669261943951546,0.41817341973696787,0.2741198889010026,GOLD,1
systemic_risk_aware,1.0,0.16121300984453768,0.08219265804109083,0.28669261943951546,0.4181734197369684,0.37866324383524497,GOLD,1
