source,target,correlation,distance,source_community,target_community,same_community
NASDAQ,SP500,0.961461475428773,0.2776275367150275,1,1,True
BTC,ETH,0.8989802167490671,0.4494881160852483,1,1,True
ETH,SP500,0.5196204824838363,0.9801831640220756,1,1,True
ETH,NASDAQ,0.5161508043701628,0.9837166214208616,1,1,True
BTC,SP500,0.5070007735433986,0.9929745479684778,1,1,True
BTC,NASDAQ,0.4995803195224182,1.0004195924486703,1,1,True
GOLD,SP500,0.2679123806317817,1.210031089987541,1,1,True
GOLD,NASDAQ,0.2570617279226789,1.218965358061763,1,1,True
USD,VIX,0.2179574863606722,1.2506338502050294,2,2,True
ETH,GOLD,0.198775095113213,1.2658790660144332,1,1,True
BTC,GOLD,0.1942658968270448,1.2694361765547375,1,1,True
