model,systemic_risk_weight,selected_assets,expected_return,variance,volatility,systemic_risk_exposure,objective_value,ETH_selected,ETH_weight,BTC_selected,BTC_weight,NASDAQ_selected,NASDAQ_weight,SP500_selected,SP500_weight,GOLD_selected,GOLD_weight,USD_selected,USD_weight
standard,0.0,"BTC, NASDAQ, GOLD",0.2196494355594335,0.05087120490764722,0.22554645842408436,0.7371622596257118,-0.08438911532589315,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0,0.0
standard,0.0,"BTC, SP500, GOLD",0.2091934193761713,0.04545651392751144,0.21320533278394196,0.7454940479048532,-0.08186845272432994,0,0.0,1,0.3333333333333333,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0
standard,0.0,"BTC, NASDAQ, SP500",0.20975530134853293,0.04652324112144715,0.21569246885658097,0.9311044530467225,-0.08161603011354289,0,0.0,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0,0.0,0,0.0
standard,0.0,"ETH, NASDAQ, GOLD",0.2441892244613488,0.0846752759392179,0.29099016467780814,0.7486544362541073,-0.07975697426106546,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0,0.0
standard,0.0,"ETH, SP500, GOLD",0.2337332082780866,0.07773922753184774,0.27881755240990075,0.7569862245332488,-0.07799699037311944,1,0.3333333333333333,0,0.0,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0
standard,0.0,"ETH, BTC, GOLD",0.3015018862315216,0.14608190131908727,0.38220662123920257,0.6964224658591128,-0.07770999245621715,1,0.3333333333333333,1,0.3333333333333333,0,0.0,0,0.0,1,0.3333333333333333,0,0.0
standard,0.0,"ETH, NASDAQ, SP500",0.23429509025044823,0.08082926492686554,0.2843048802375111,0.942596629675118,-0.07673291266179134,1,0.3333333333333333,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0,0,0.0
standard,0.0,"ETH, BTC, NASDAQ",0.3020637682038832,0.14980847001776876,0.3870509914956539,0.8820328710009822,-0.07612764909305722,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0,0.0,0,0.0,0,0.0
standard,0.0,"ETH, BTC, SP500",0.291607752020621,0.14109424418490032,0.3756251378500916,0.8903646592801235,-0.07525675391786034,1,0.3333333333333333,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0,0.0,0,0.0
standard,0.0,"BTC, NASDAQ, USD",0.16753644848658897,0.032213780736534095,0.17948197886287665,0.745552814493564,-0.06766133387502743,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0,0,0.0,1,0.3333333333333333
standard,0.0,"BTC, GOLD, USD",0.16697456651422735,0.033458171873506894,0.18291575075292693,0.5599424093516947,-0.06675819732036023,0,0.0,1,0.3333333333333333,0,0.0,0,0.0,1,0.3333333333333333,1,0.3333333333333333
standard,0.0,"ETH, GOLD, USD",0.19151435541614265,0.06144615772573378,0.24788335508003312,0.5714345859800902,-0.06503409884520443,1,0.3333333333333333,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,1,0.3333333333333333
standard,0.0,"ETH, NASDAQ, USD",0.19207623738850427,0.06222507678984307,0.24944954758396148,0.7570449911219596,-0.0649255802993306,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0,0.0,0,0.0,1,0.3333333333333333
standard,0.0,"BTC, SP500, USD",0.15708043230332677,0.027762983282724262,0.16662227727025058,0.7538846027727054,-0.06465872451030126,0,0.0,1,0.3333333333333333,0,0.0,1,0.3333333333333333,0,0.0,1,0.3333333333333333
standard,0.0,"ETH, BTC, USD",0.24938889915867704,0.12098781269869258,0.34783302416345196,0.7048130207269651,-0.06420054322999223,1,0.3333333333333333,1,0.3333333333333333,0,0.0,0,0.0,0,0.0,1,0.3333333333333333
standard,0.0,"NASDAQ, SP500, GOLD",0.15188075760599853,0.025059696893969686,0.1583025486022562,0.7977260182998477,-0.06341053035601442,0,0.0,0,0.0,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0,0.0
standard,0.0,"ETH, SP500, USD",0.18162022120524207,0.05625292190879884,0.2371769843572492,0.765376779401101,-0.06268364964822162,1,0.3333333333333333,0,0.0,0,0.0,1,0.3333333333333333,0,0.0,1,0.3333333333333333
standard,0.0,"NASDAQ, GOLD, USD",0.10966190474405457,0.014563598189150397,0.12067973396204683,0.6121743797466892,-0.047549153277452086,0,0.0,0,0.0,1,0.3333333333333333,0,0.0,1,0.3333333333333333,1,0.3333333333333333
standard,0.0,"NASDAQ, SP500, USD",0.099767770533154,0.01001005572020234,0.10005026596767418,0.8061165731676999,-0.044878857406475826,0,0.0,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,0.0,1,0.3333333333333333
standard,0.0,"SP500, GOLD, USD",0.09920588856079236,0.011890978160838846,0.10904576177384817,0.6205061680258306,-0.043657455199976755,0,0.0,0,0.0,0,0.0,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333
