source,target,correlation,absolute_correlation,distance
NASDAQ,SP500,0.961461475428773,0.961461475428773,0.2776275367150275
ETH,BTC,0.8989802167490671,0.8989802167490671,0.44948811608524836
SP500,VIX,-0.8251797496899785,0.8251797496899785,1.9105914004255218
NASDAQ,VIX,-0.7719390043895171,0.7719390043895171,1.8825190593401795
ETH,SP500,0.5196204824838363,0.5196204824838363,0.9801831640220757
ETH,NASDAQ,0.5161508043701628,0.5161508043701628,0.9837166214208615
BTC,SP500,0.5070007735433986,0.5070007735433986,0.9929745479684778
BTC,NASDAQ,0.4995803195224182,0.4995803195224182,1.0004195924486703
ETH,VIX,-0.4870248626512873,0.4870248626512873,1.7245433381920485
BTC,VIX,-0.4366903036860185,0.4366903036860185,1.6951048956840509
GOLD,USD,-0.3323957298890894,0.3323957298890894,1.632418898376939
SP500,USD,-0.2892393393790475,0.2892393393790475,1.6057642039720823
SP500,GOLD,0.2679123806317817,0.2679123806317817,1.210031089987541
NASDAQ,USD,-0.2586266167082528,0.2586266167082528,1.5865854006061275
NASDAQ,GOLD,0.2570617279226789,0.2570617279226789,1.218965358061763
ETH,USD,-0.2340693138991899,0.2340693138991899,1.5710310715572686
USD,VIX,0.2179574863606722,0.2179574863606722,1.2506338502050294
ETH,GOLD,0.198775095113213,0.198775095113213,1.2658790660144332
BTC,GOLD,0.1942658968270448,0.1942658968270448,1.2694361765547375
BTC,USD,-0.1741497959188506,0.1741497959188506,1.532416259323067
GOLD,VIX,-0.1711368002058587,0.1711368002058587,1.5304488231926336
