shock_source,step,asset,shock
BTC,1,BTC,0.0
BTC,1,ETH,0.1609205809105866
BTC,1,GOLD,0.03477427020760585
BTC,1,NASDAQ,0.08942661221151665
BTC,1,SP500,0.090754899252131
BTC,1,USD,0.03117341828284524
BTC,1,VIX,0.07816908096297939
BTC,2,BTC,0.05042044116499972
BTC,2,ETH,0.026062012036518895
BTC,2,GOLD,0.0184425563076399
BTC,2,NASDAQ,0.0443319641013683
BTC,2,SP500,0.04518664351097863
BTC,2,USD,0.020700125320508005
BTC,2,VIX,0.04207278941722721
BTC,3,BTC,0.01683469214204207
BTC,3,ETH,0.021604026360419276
BTC,3,GOLD,0.009408136042057794
BTC,3,NASDAQ,0.02231427068456337
BTC,3,SP500,0.022800554323562185
BTC,3,USD,0.009794446035660874
BTC,3,VIX,0.020386273843290573
BTC,4,BTC,0.00976734783232968
BTC,4,ETH,0.009413886370529423
BTC,4,GOLD,0.004681642232345272
BTC,4,NASDAQ,0.01112893359787173
BTC,4,SP500,0.011347252781740867
BTC,4,USD,0.004998679979934903
BTC,4,VIX,0.01032096569203893
BTC,5,BTC,0.004665336712228431
BTC,5,ETH,0.004931245640735723
BTC,5,GOLD,0.0023444869023269885
BTC,5,NASDAQ,0.005569142605187531
BTC,5,SP500,0.0056852359895621825
BTC,5,USD,0.0024828647222503463
BTC,5,VIX,0.005136537760136272
ETH,1,BTC,0.1609205809105866
ETH,1,ETH,0.0
ETH,1,GOLD,0.03558143236104593
ETH,1,NASDAQ,0.09239278654771281
ETH,1,SP500,0.09301387098007573
ETH,1,USD,0.041899220098759946
ETH,1,VIX,0.08717914182712201
ETH,2,BTC,0.026062012036518895
ETH,2,ETH,0.05370522630481152
ETH,2,GOLD,0.019471689750278416
ETH,2,NASDAQ,0.04602212706318434
ETH,2,SP500,0.047258534208086636
ETH,2,USD,0.019627955191336293
ETH,2,VIX,0.041809618667311275
ETH,3,BTC,0.021604026360419276
ETH,3,ETH,0.018001879184364914
ETH,3,GOLD,0.00964995342201247
ETH,3,NASDAQ,0.023007949575682182
ETH,3,SP500,0.023406965308454694
ETH,3,USD,0.010429823461098957
ETH,3,VIX,0.021421390581292915
ETH,4,BTC,0.009413886370529423
ETH,4,ETH,0.010427332578589639
ETH,4,GOLD,0.004849838989271099
ETH,4,NASDAQ,0.011510567148110535
ETH,4,SP500,0.011761819741755742
ETH,4,USD,0.005114713379701537
ETH,4,VIX,0.010597370638161217
ETH,5,BTC,0.004931245640735722
ETH,5,ETH,0.004983130218336652
ETH,5,GOLD,0.0024210691390787716
ETH,5,NASDAQ,0.005753822793790623
ETH,5,SP500,0.005868004856243777
ETH,5,USD,0.002574232300669448
ETH,5,VIX,0.005320908722611293
GOLD,1,BTC,0.03477427020760585
GOLD,1,ETH,0.03558143236104593
GOLD,1,GOLD,0.0
GOLD,1,NASDAQ,0.04601494206044727
GOLD,1,SP500,0.047957246579140855
GOLD,1,USD,0.05949999004358648
GOLD,1,VIX,0.030634081586239044
GOLD,2,BTC,0.0184425563076399
GOLD,2,ETH,0.019471689750278416
GOLD,2,GOLD,0.011371256359433346
GOLD,2,NASDAQ,0.02163845794780224
GOLD,2,SP500,0.021990465422501018
GOLD,2,USD,0.008383304024771826
GOLD,2,VIX,0.021583732973041912
GOLD,3,BTC,0.009408136042057794
GOLD,3,ETH,0.009649953422012471
GOLD,3,GOLD,0.004544455952406202
GOLD,3,NASDAQ,0.011126755195845842
GOLD,3,SP500,0.011376487658689503
GOLD,3,USD,0.00504975502322934
